Name,Staff Login,Role,Gender,Age,Branch,Password
Alexei ,Alexei,M,M,25,NTU,1234,
Tom Chan ,TomC,M,M,56,JP,password,
Alica Ang,AlicaA,M,F,27,JE,password,
Mary lee,MaryL,S,F,44,JE,password,
Justin Loh,JustinL,S,M,49,JP,password,
Boss,boss,A,F,62,,1234,
Bill Clinton,billC,S,M,45,JP,password,
kumar Blackmore,kumarB,M,M,32,JP,password,
Jeff Bezos,jeffB,S,M,40,NTU,password,
Tom Jerry,tomJ,S,M,26,JE,1234,
Tommy Hilfiger,TommyH,S,M,45,JP,password,
Harry Styles,harryS,S,M,24,JP,password,
Hill,hill,S,F,34,JP,password,
